order_id,customer_id,product_list,total_price,order_date
57,6,"Skirt, Sweater, Blouse, Shoes, Hat",2471.98,11/06/2016 11:35:44
58,,"Skirt, Hat, Blouse, Sweater",2314.35,12/12/2005 19:14:34
59,22,"Hat, Sweater, Blouse, Skirt, Shoes",1129.62,03/08/2018 02:35:36
60,9,"Shoes, Skirt",1235.64,08/01/2021 02:18:27
61,4,Hat,381.38,03/13/2020 20:07:03
62,2,Skirt,219.32,2024/01/01 01:00:00
63,7,Shoes,433.46,11/22/2007 12:25:44
64,5,"Skirt, Hat",1259.46,2024/01/01 01:00:00
65,4,"Shoes, Hat",1041.67,03/12/2005 02:24:18
66,4,"Hat, Shoes, Sweater, Blouse",989.33,01/21/2000 01:03:04
67,17,"Skirt, Blouse, Shoes",1448.33,04/08/2011 19:58:24
68,22,"Sweater, Hat, Shoes, Skirt, Blouse",1468.14,10/11/2018 06:06:52
69,20,"Skirt, Hat, Sweater",727.26,08/01/2008 08:28:20
70,17,"Shoes, Sweater, Hat, Skirt",1731.23,03/06/2009 20:02:27
71,15,"Blouse, Shoes, Skirt",1568.41,06/24/2004 08:59:11
72,21,,1016.7,04/28/2019 22:15:29
73,22,Sweater,71.02,09/30/2001 10:42:07
74,19,"Sweater, Blouse, Skirt, Hat, Shoes",1881.99,04/19/2015 10:58:37
86,,"Sweater, Shoes, Hat, Blouse, Skirt",2100.56,09/27/2001 21:50:25
76,10,"Blouse, Hat, Sweater",1610.92,01/12/2010 03:36:00
77,10,"Sweater, Hat, Skirt, Shoes, Blouse",1413.08,2024/01/01 01:00:00
78,4,"Shoes, Skirt, Blouse",1234.6,07/04/2017 14:20:55
79,12,,30000,04/02/2022 13:50:09
80,18,"Blouse, Sweater, Shoes, Skirt",1532.04,10/17/2006 06:49:34
81,11,"Sweater, Blouse",1358.33,04/26/2017 14:21:00
82,6,"Skirt, Blouse, Shoes",952.3,11/18/2000 08:58:09
83,,"Shoes, Hat",221.19,12/12/2001 02:40:05
84,6,"Hat, Blouse, Shoes, Sweater, Skirt",1875.26,07/19/2009 18:41:41
85,,"Shoes, Hat, Sweater",1623.43,09/28/2006 14:34:50
86,17,"Shoes, Blouse, Hat, Sweater",907.0,01/05/2012 20:52:29
87,20,"Blouse, Hat, Shoes",1654.58,09/04/2006 05:06:23
88,5,"Shoes, Hat, Skirt",1151.66,05/18/2015 13:11:06
89,2,,1029.3,12/17/2002 00:15:29
90,17,"Hat, Shoes",545.72,03/24/2016 20:48:06
91,16,"Sweater, Blouse",631.16,05/22/2013 09:52:13
92,5,"Shoes, Blouse",1448.51,04/20/2011 19:34:06
93,3,"Hat, Blouse",588.6,09/09/2009 13:24:58
94,22,"Hat, Skirt, Blouse, Sweater",1110.99,12/20/2005 07:32:49
95,,"Skirt, Blouse, Shoes",1383.84,01/08/2020 17:40:05
96,17,"Blouse, Hat, Shoes, Skirt, Sweater",2087.79,06/10/2008 06:00:06
97,21,"Hat, Blouse, Sweater, Skirt",2485.71,01/05/2006 09:53:24
98,12,"Hat, Shoes",890.6,09/01/2009 20:16:25
99,20,"Sweater, Hat, Blouse",1105.57,2024/01/01 01:00:00
100,14,"Sweater, Shoes",1221.49,02/07/2008 05:38:27
